rep_length_um,cortical collecting duct,descending limb of loop of Henle,inner medullary collecting duct,loop of Henle ascending limb thin segment,nephron,outer medullary collecting duct,renal corpuscle,thick ascending limb of loop of Henle,crypt of Lieberkuhn of large intestine,liver lobule,alveolus of lung,bronchus submucosal gland,intercalated duct of pancreas,islet of Langerhans,pancreatic acinus,prostate glandular acinus,epidermal ridge of digit,papillary layer of dermis,intestinal villus,red pulp of spleen,white pulp of spleen,thymus lobule
0.0031622776601683794,,,,,,,,,1 (0.0),,,,,,,,,,,,,
0.03162277660168379,3 (0.0),5 (0.2),,,13 (1.2),,,3 (0.0),10 (0.7),1 (0.0),1 (0.0),,1 (0.0),3 (0.0),4 (0.1),1 (0.0),11 (0.9),6 (0.3),7 (0.4),4 (0.1),4 (0.1),
0.31622776601683794,27 (3.7),43 (7.0),25 (3.3),4 (0.1),211 (38.6),12 (1.0),5 (0.2),33 (4.9),85 (15.6),21 (2.6),16 (1.7),2 (0.0),4 (0.1),35 (5.3),57 (9.9),12 (1.0),71 (12.7),45 (7.4),86 (15.8),55 (9.5),38 (5.9),1 (0.0)
3.1622776601683795,95 (17.5),123 (22.9),60 (10.5),13 (1.2),522 (83.0),36 (5.5),24 (3.1),93 (17.2),239 (43.2),69 (12.3),36 (5.5),16 (1.7),15 (1.5),77 (14.0),127 (23.7),52 (8.8),210 (38.4),112 (20.9),189 (34.8),133 (24.8),96 (17.7),5 (0.2)
31.622776601683793,623 (95.2),1016 (136.4),345 (59.3),103 (19.1),3444 (303.0),229 (41.5),198 (36.4),625 (95.4),1956 (212.7),513 (81.9),363 (61.9),154 (28.7),97 (17.9),828 (117.7),1138 (147.7),554 (86.9),1072 (141.7),1036 (138.3),1644 (189.8),1581 (184.9),956 (130.6),35 (5.3)
316.22776601683796,356 (60.9),803 (115.1),171 (31.7),51 (8.6),1856 (205.5),118 (22.0),98 (18.1),386 (65.1),1332 (164.7),465 (75.7),282 (49.9),74 (13.3),59 (10.3),508 (81.2),618 (94.6),386 (65.1),754 (109.8),972 (132.1),1397 (170.1),1680 (192.5),965 (131.5),29 (4.1)
3162.2776601683795,38 (5.9),137 (25.6),21 (2.6),12 (1.0),196 (36.0),16 (1.7),16 (1.7),65 (11.5),108 (20.1),50 (8.4),40 (6.4),19 (2.2),7 (0.4),65 (11.5),69 (12.3),24 (3.1),122 (22.8),136 (25.4),118 (22.0),193 (35.5),121 (22.6),3 (0.0)
31622.776601683792,3 (0.0),25 (3.3),2 (0.0),4 (0.1),35 (5.3),,3 (0.0),16 (1.7),44 (7.2),11 (0.9),8 (0.5),7 (0.4),,13 (1.2),12 (1.0),10 (0.7),46 (7.6),42 (6.8),39 (6.2),63 (11.1),53 (9.0),1 (0.0)
316227.7660168379,1 (0.0),9 (0.6),,,6 (0.3),,,1 (0.0),16 (1.7),4 (0.1),3 (0.0),2 (0.0),,1 (0.0),1 (0.0),1 (0.0),5 (0.2),12 (1.0),12 (1.0),13 (1.2),11 (0.9),
3162277.6601683795,,,,,,,,,1 (0.0),1 (0.0),,,,1 (0.0),1 (0.0),,,1 (0.0),1 (0.0),1 (0.0),1 (0.0),
