species_tag,sex_tag,age_tag,age_yearold_tag,bmi_tag,count
Callithrix jacchus,male,others,unknown,others,1
Callithrix jacchus,others,others,unknown,others,12
Callithrix jacchus,female,postnatal,<1 year old,others,3
Callithrix jacchus,female,postnatal,"[5 years old, 10 years old)",others,1
Callithrix jacchus,male,postnatal,<1 year old,others,1
Callithrix jacchus,male,postnatal,"[5 years old, 10 years old)",others,1
Callithrix jacchus,others,postnatal,<1 year old,others,3
Callithrix jacchus,others,postnatal,"[1 year old, 5 years old)",others,1
Callithrix jacchus,others,postnatal,"[10 years old, 15 years old)",others,2
Callithrix jacchus,others,postnatal,"[15 years old, 20 years old)",others,1
Callithrix jacchus,others,postnatal,others,others,4
Callithrix jacchus,others,prenatal,unknown,others,18
Callithrix jacchus,female,unknown,unknown,others,7
Callithrix jacchus,male,unknown,unknown,others,10
Callithrix jacchus,others,unknown,unknown,others,238
Homo sapiens,female,others,unknown,Normal weight,14
Homo sapiens,female,others,unknown,Obesity,5
Homo sapiens,female,others,unknown,Overweight,6
Homo sapiens,female,others,unknown,others,990
Homo sapiens,female,others,unknown,unknown,349
Homo sapiens,male,others,unknown,Normal weight,1
Homo sapiens,male,others,unknown,Obesity,4
Homo sapiens,male,others,unknown,Overweight,24
Homo sapiens,male,others,unknown,others,659
Homo sapiens,male,others,unknown,unknown,491
Homo sapiens,others,others,unknown,Normal weight,8
Homo sapiens,others,others,unknown,Obesity,25
Homo sapiens,others,others,unknown,Overweight,4
Homo sapiens,others,others,unknown,Underweight,1
Homo sapiens,others,others,unknown,others,8049
Homo sapiens,others,others,unknown,unknown,23
Homo sapiens,unknown,others,unknown,unknown,1
Homo sapiens,female,postnatal,"[20 years old, 25 years old)",Normal weight,24
Homo sapiens,female,postnatal,"[25 years old, 30 years old)",Normal weight,10
Homo sapiens,female,postnatal,"[30 years old, 35 years old)",Normal weight,171
Homo sapiens,female,postnatal,"[35 years old, 40 years old)",Normal weight,2
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",Normal weight,21
Homo sapiens,female,postnatal,"[50 years old, 55 years old)",Normal weight,3
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",Normal weight,1
Homo sapiens,female,postnatal,"[70 years old, 75 years old)",Normal weight,1
Homo sapiens,female,postnatal,"[85 years old, 90 years old)",Normal weight,2
Homo sapiens,female,postnatal,"[90 years old, 95 years old)",Normal weight,1
Homo sapiens,female,postnatal,"[25 years old, 30 years old)",Obesity,1
Homo sapiens,female,postnatal,"[35 years old, 40 years old)",Obesity,2
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",Obesity,5
Homo sapiens,female,postnatal,"[45 years old, 50 years old)",Obesity,2
Homo sapiens,female,postnatal,"[50 years old, 55 years old)",Obesity,4
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",Obesity,1
Homo sapiens,female,postnatal,"[85 years old, 90 years old)",Obesity,1
Homo sapiens,female,postnatal,"[95 years old, 100 years old)",Obesity,1
Homo sapiens,female,postnatal,"[20 years old, 25 years old)",Overweight,1
Homo sapiens,female,postnatal,"[30 years old, 35 years old)",Overweight,29
Homo sapiens,female,postnatal,"[35 years old, 40 years old)",Overweight,8
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",Overweight,12
Homo sapiens,female,postnatal,"[45 years old, 50 years old)",Overweight,9
Homo sapiens,female,postnatal,"[50 years old, 55 years old)",Overweight,2
Homo sapiens,female,postnatal,"[55 years old, 60 years old)",Overweight,2
Homo sapiens,female,postnatal,"[60 years old, 65 years old)",Overweight,8
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",Overweight,1
Homo sapiens,female,postnatal,"[70 years old, 75 years old)",Overweight,2
Homo sapiens,female,postnatal,"[75 years old, 80 years old)",Overweight,1
Homo sapiens,female,postnatal,"[80 years old, 85 years old)",Overweight,2
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",Underweight,2
Homo sapiens,female,postnatal,"[45 years old, 50 years old)",Underweight,1
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",Underweight,1
Homo sapiens,female,postnatal,"[85 years old, 90 years old)",Underweight,1
Homo sapiens,female,postnatal,<1 year old,others,277
Homo sapiens,female,postnatal,>=100 years old,others,1
Homo sapiens,female,postnatal,"[1 year old, 5 years old)",others,136
Homo sapiens,female,postnatal,"[10 years old, 15 years old)",others,275
Homo sapiens,female,postnatal,"[15 years old, 20 years old)",others,292
Homo sapiens,female,postnatal,"[20 years old, 25 years old)",others,476
Homo sapiens,female,postnatal,"[25 years old, 30 years old)",others,1558
Homo sapiens,female,postnatal,"[30 years old, 35 years old)",others,766
Homo sapiens,female,postnatal,"[35 years old, 40 years old)",others,392
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",others,685
Homo sapiens,female,postnatal,"[45 years old, 50 years old)",others,553
Homo sapiens,female,postnatal,"[5 years old, 10 years old)",others,224
Homo sapiens,female,postnatal,"[50 years old, 55 years old)",others,512
Homo sapiens,female,postnatal,"[55 years old, 60 years old)",others,414
Homo sapiens,female,postnatal,"[60 years old, 65 years old)",others,514
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",others,577
Homo sapiens,female,postnatal,"[70 years old, 75 years old)",others,351
Homo sapiens,female,postnatal,"[75 years old, 80 years old)",others,259
Homo sapiens,female,postnatal,"[80 years old, 85 years old)",others,131
Homo sapiens,female,postnatal,"[85 years old, 90 years old)",others,67
Homo sapiens,female,postnatal,"[90 years old, 95 years old)",others,30
Homo sapiens,female,postnatal,"[95 years old, 100 years old)",others,6
Homo sapiens,female,postnatal,others,others,39
Homo sapiens,female,postnatal,"[20 years old, 25 years old)",unknown,46
Homo sapiens,female,postnatal,"[25 years old, 30 years old)",unknown,38
Homo sapiens,female,postnatal,"[30 years old, 35 years old)",unknown,30
Homo sapiens,female,postnatal,"[35 years old, 40 years old)",unknown,5
Homo sapiens,female,postnatal,"[40 years old, 45 years old)",unknown,19
Homo sapiens,female,postnatal,"[45 years old, 50 years old)",unknown,5
Homo sapiens,female,postnatal,"[50 years old, 55 years old)",unknown,1
Homo sapiens,female,postnatal,"[60 years old, 65 years old)",unknown,5
Homo sapiens,female,postnatal,"[65 years old, 70 years old)",unknown,2
Homo sapiens,male,postnatal,"[20 years old, 25 years old)",Normal weight,5
