organ,ftu,young,medium,old,young-pmcid,medium-pmcid,old-pmcid
Kidney,cortical collecting duct,90.0,1006.8181818181819,,7.0,15.0,
Kidney,descending limb of loop of Henle,3230.5882352941176,1476.9525714285714,2213.846153846154,7.0,47.0,7.0
Kidney,inner medullary collecting duct,88.33333333333333,309.23636363636365,,3.0,8.0,
Kidney,loop of Henle ascending limb thin segment,17500.0,5123.333333333333,,1.0,4.0,
Kidney,nephron,834.2608695652174,81.67543859649123,43.71875,26.0,88.0,6.0
Kidney,outer medullary collecting duct,91.0,55.2,,2.0,4.0,
Kidney,renal corpuscle,120.0,22.357692307692307,,2.0,5.0,
Kidney,thick ascending limb of loop of Henle,3158.235294117647,1114.740909090909,8608.57142857143,7.0,20.0,3.0
Large Intestine,crypt of Lieberkuhn of large intestine,2762.9761904761904,786.4591836734694,2187.5,14.0,58.0,5.0
Liver,liver lobule,104.375,1362.5504587155963,2302.8571428571427,6.0,24.0,3.0
Lung,alveolus of lung,65.38461538461539,116.10975609756098,161.4375,2.0,11.0,1.0
Lung,bronchus submucosal gland,,147.22916666666666,976.8333333333334,,2.0,2.0
Pancreas,intercalated duct of pancreas,50.0,29.82,,1.0,4.0,
Pancreas,islet of Langerhans,72.33333333333333,105.32222222222222,267.5,11.0,31.0,4.0
Pancreas,pancreatic acinus,67.41935483870968,327.07912087912086,131.25,10.0,36.0,4.0
Prostate Gland,prostate glandular acinus,50.0,106.4375,128.33333333333334,7.0,26.0,4.0
Skin,epidermal ridge of digit,84.25974025974025,469.58152173913044,74.63461538461539,14.0,42.0,6.0
Skin,papillary layer of dermis,485.01666666666665,1070.922077922078,1051.6714285714286,18.0,90.0,19.0
Small Intestine,intestinal villus,519.4488188976378,202.85887096774192,23.0,31.0,35.0,3.0
Spleen,red pulp of spleen,599.516129032258,129.6283783783784,134.0625,12.0,39.0,7.0
Spleen,white pulp of spleen,696.8518518518518,196.45185185185184,182.35294117647058,10.0,34.0,4.0
Thymus,thymus lobule,,,35.0,,,1.0
